strategy,symbol,timeframe,dir,reason,entryTime,exitTime,holdBars,rMultiple,mfeR,maeR,pnl,fees,session,regime
scalp_fade_3m_lim,ETHUSDT,3m,1,STOP,2025-12-11T08:03:00.000Z,2025-12-11T08:11:59.999Z,2,-1.092949,0.1953,1.5292,-109.2949,21.7069,LONDON,-1
scalp_fade_3m_lim,ETHUSDT,3m,1,TIME,2025-12-11T09:45:00.000Z,2025-12-11T10:47:59.999Z,20,-0.806065,0.4576,0.7570,-80.6065,15.4428,LONDON,1
scalp_fade_3m_lim,ETHUSDT,3m,1,TARGET,2025-12-11T12:09:00.000Z,2025-12-11T12:23:59.999Z,4,0.921962,1.1496,0.2076,92.1962,12.1657,LONDON,1
scalp_fade_3m_lim,ETHUSDT,3m,1,STOP,2025-12-11T13:18:00.000Z,2025-12-11T13:35:59.999Z,5,-1.088052,0.5395,0.8591,-108.8052,20.4471,NY,1
scalp_fade_3m_lim,ETHUSDT,3m,1,STOP,2025-12-11T14:45:00.000Z,2025-12-11T14:50:59.999Z,1,-1.036831,0.1269,1.1432,-103.6831,8.7430,NY,-1
scalp_fade_3m_lim,ETHUSDT,3m,1,TARGET,2025-12-11T17:51:00.000Z,2025-12-11T18:38:59.999Z,15,1.183804,1.3244,0.1976,118.3804,6.6417,NY,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-12-11T20:12:00.000Z,2025-12-11T21:08:59.999Z,18,-1.042596,0.7773,0.9296,-104.2596,9.3850,NY,-1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TARGET,2025-12-12T00:03:00.000Z,2025-12-12T00:53:59.999Z,16,1.034662,1.7781,0.6594,103.4662,9.7242,ASIA,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-12-12T01:18:00.000Z,2025-12-12T01:35:59.999Z,5,-1.043010,0.0819,0.9036,-104.3010,9.7310,ASIA,-1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TARGET,2025-12-12T06:36:00.000Z,2025-12-12T07:38:59.999Z,20,0.998787,1.1769,0.0781,99.8787,10.4619,ASIA,-1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TIME,2025-12-12T09:51:00.000Z,2025-12-12T10:53:59.999Z,20,0.239891,0.9817,0.1890,23.9891,16.1508,LONDON,1
scalp_fade_3m_lim,ETHUSDT,3m,1,TARGET,2025-12-12T12:27:00.000Z,2025-12-12T12:56:59.999Z,9,0.886991,1.3148,0.3091,88.6991,12.8792,LONDON,-1
scalp_fade_3m_lim,ETHUSDT,3m,1,STOP,2025-12-12T14:36:00.000Z,2025-12-12T14:53:59.999Z,5,-1.051164,0.7436,0.8402,-105.1164,11.9661,NY,-1
scalp_fade_3m_lim,ETHUSDT,3m,1,STOP,2025-12-12T19:00:00.000Z,2025-12-12T19:47:59.999Z,15,-1.050281,0.1488,0.8647,-105.0281,11.5256,NY,1
scalp_fade_3m_lim,ETHUSDT,3m,1,STOP,2025-12-13T01:39:00.000Z,2025-12-13T01:47:59.999Z,2,-1.118960,0.0553,0.8452,-111.8960,27.7244,ASIA,1
scalp_fade_3m_lim,ETHUSDT,3m,1,TARGET,2025-12-13T03:00:00.000Z,2025-12-13T03:17:59.999Z,5,0.688201,1.0744,0.0539,68.8201,17.0704,ASIA,-1
scalp_fade_3m_lim,ETHUSDT,3m,1,TIME,2025-12-13T04:30:00.000Z,2025-12-13T05:32:59.999Z,20,-0.583420,0.6091,0.3559,-58.3420,31.2489,ASIA,-1
scalp_fade_3m_lim,ETHUSDT,3m,1,TARGET,2025-12-13T07:15:00.000Z,2025-12-13T07:20:59.999Z,1,0.530012,0.8191,0.1172,53.0012,20.4190,LONDON,-1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-12-13T14:42:00.000Z,2025-12-13T15:08:59.999Z,8,-1.067457,0.1842,0.9754,-106.7457,15.2838,NY,1
scalp_fade_3m_lim,ETHUSDT,3m,1,STOP,2025-12-13T20:51:00.000Z,2025-12-13T20:59:59.999Z,2,-1.140003,0.0721,0.5406,-114.0003,32.5924,NY,-1
scalp_fade_3m_lim,ETHUSDT,3m,1,STOP,2025-12-13T21:33:00.000Z,2025-12-13T21:35:59.999Z,0,-1.084363,0.7156,1.4293,-108.4363,19.8027,LATE,-1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TARGET,2025-12-13T23:21:00.000Z,2025-12-14T00:05:59.999Z,14,0.902482,1.0513,0.5010,90.2482,12.5013,LATE,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-12-14T00:42:00.000Z,2025-12-14T00:47:59.999Z,1,-1.087609,0.0000,0.8538,-108.7609,20.1994,ASIA,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TIME,2025-12-14T03:09:00.000Z,2025-12-14T04:11:59.999Z,20,-0.151841,0.9098,0.1558,-15.1841,27.2369,ASIA,-1
scalp_fade_3m_lim,ETHUSDT,3m,1,STOP,2025-12-14T09:36:00.000Z,2025-12-14T10:14:59.999Z,12,-1.121245,0.1248,2.3502,-112.1245,27.6803,LONDON,1
scalp_fade_3m_lim,ETHUSDT,3m,1,STOP,2025-12-14T11:06:00.000Z,2025-12-14T11:20:59.999Z,4,-1.082650,0.1697,0.8696,-108.2650,19.2448,LONDON,1
scalp_fade_3m_lim,ETHUSDT,3m,1,STOP,2025-12-14T13:03:00.000Z,2025-12-14T13:05:59.999Z,0,-1.061006,0.0007,0.8282,-106.1006,14.3771,NY,1
scalp_fade_3m_lim,ETHUSDT,3m,1,STOP,2025-12-14T14:27:00.000Z,2025-12-14T14:35:59.999Z,2,-1.080325,0.0078,1.7664,-108.0325,18.7865,NY,1
scalp_fade_3m_lim,ETHUSDT,3m,1,TIME,2025-12-14T16:45:00.000Z,2025-12-14T17:47:59.999Z,20,-0.628395,1.1021,0.7549,-62.8395,13.1975,NY,-1
scalp_fade_3m_lim,ETHUSDT,3m,1,TIME,2025-12-14T18:27:00.000Z,2025-12-14T19:29:59.999Z,20,0.481089,1.1850,0.1218,48.1089,13.3817,NY,1
scalp_fade_3m_lim,ETHUSDT,3m,1,TIME,2025-12-14T20:39:00.000Z,2025-12-14T21:41:59.999Z,20,-0.729051,0.2902,0.7737,-72.9051,12.5950,NY,1
scalp_fade_3m_lim,ETHUSDT,3m,1,STOP,2025-12-14T22:15:00.000Z,2025-12-14T22:32:59.999Z,5,-1.076257,0.5758,2.2364,-107.6257,17.7354,LATE,1
scalp_fade_3m_lim,ETHUSDT,3m,1,TARGET,2025-12-14T23:33:00.000Z,2025-12-15T00:02:59.999Z,9,1.291668,1.8406,0.0802,129.1668,4.3927,LATE,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TIME,2025-12-15T02:42:00.000Z,2025-12-15T03:44:59.999Z,20,0.100256,0.5884,0.2070,10.0256,10.5759,ASIA,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TARGET,2025-12-15T04:18:00.000Z,2025-12-15T04:29:59.999Z,3,0.984702,1.1637,0.0470,98.4702,10.8169,ASIA,-1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TIME,2025-12-15T07:06:00.000Z,2025-12-15T08:08:59.999Z,20,-0.426218,0.6053,0.2584,-42.6218,15.7787,LONDON,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-12-15T08:12:00.000Z,2025-12-15T08:26:59.999Z,4,-1.083427,0.2812,0.8957,-108.3427,19.1064,LONDON,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-12-15T09:51:00.000Z,2025-12-15T09:53:59.999Z,0,-1.088841,0.0000,1.3715,-108.8841,20.5290,LONDON,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TARGET,2025-12-15T12:54:00.000Z,2025-12-15T13:05:59.999Z,3,0.939533,1.5480,0.3045,93.9533,11.7671,LONDON,1
